DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Lithuania,2025,85.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Luxembourg,2021,50.9,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Luxembourg,2023,57.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Luxembourg,2025,53.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Latvia,2021,86.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Latvia,2023,88.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Latvia,2025,87.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Malta,2021,72.6,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Malta,2023,75.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Malta,2025,75.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Netherlands,2021,38.2,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Netherlands,2023,40.4,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Netherlands,2025,38.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Poland,2021,84.5,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Poland,2023,84.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Poland,2025,82.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Portugal,2021,73.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Portugal,2023,79.7,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Portugal,2025,76.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Romania,2021,94.1,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Romania,2023,96.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Romania,2025,96.4,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Sweden,2021,50.8,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Sweden,2023,50.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Sweden,2025,52.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovenia,2021,78.0,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovenia,2023,81.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovenia,2025,80.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovakia,2021,84.7,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovakia,2023,85.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employed persons,Slovakia,2025,81.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employees,Austria,2021,73.0,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employees,Austria,2023,72.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 25 to 49 years,Employees,Austria,2025,72.0,,
